Station,Year,Month,Day,Daily Rainfall Total (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm)
Pasir Panjang,2022,12,11,81.0,25.7,27.2,23.7,15.5,41.1,25.4,38.0,57.0
Pasir Panjang,2022,12,12,0.0,26.9,29.2,24.9,15.4,31.3,0.0,0.0,0.0
Pasir Panjang,2022,12,13,2.0,26.6,31.1,25.1,12.9,30.9,0.8,1.2,1.4
Pasir Panjang,2022,12,14,0.2,26.1,27.5,25.1,18.4,48.2,0.2,0.2,0.2
Pasir Panjang,2022,12,15,3.2,26.2,28.3,24.6,16.1,37.4,0.6,1.0,1.8
Pasir Panjang,2022,12,16,24.4,27.2,31.3,23.4,14.8,60.2,19.6,23.2,24.4
Pasir Panjang,2022,12,17,0.6,27.3,31.2,25.8,14.8,47.2,0.4,0.4,0.6
Pasir Panjang,2022,12,18,6.8,26.9,30.7,24.9,14.3,40.7,6.8,6.8,6.8
Pasir Panjang,2022,12,19,0.0,26.6,28.7,25.6,15.6,35.0,0.0,0.0,0.0
Pasir Panjang,2022,12,20,0.0,27.1,31.2,24.9,16.9,43.2,0.0,0.0,0.0
Pasir Panjang,2022,12,21,31.6,27.2,30.6,24.8,15.5,37.8,23.2,31.4,31.6
Pasir Panjang,2022,12,22,0.0,26.7,28.9,25.3,24.6,48.9,0.0,0.0,0.0
Pasir Panjang,2022,12,23,11.0,26.0,30.1,23.3,17.9,68.3,5.8,6.0,6.0
Pasir Panjang,2022,12,24,0.0,27.2,30.2,25.3,19.8,52.6,0.0,0.0,0.0
Pasir Panjang,2022,12,25,42.4,26.9,31.6,23.3,17.8,45.0,23.6,30.8,38.8
Pasir Panjang,2022,12,26,0.0,27.4,30.3,25.7,21.1,53.0,0.0,0.0,0.2
Pasir Panjang,2022,12,27,1.8,27.2,31.1,25.2,17.8,46.5,1.8,1.8,1.8
Pasir Panjang,2022,12,28,0.0,27.2,29.9,25.6,19.7,47.6,0.0,0.0,0.0
Pasir Panjang,2022,12,29,2.0,27.3,31.0,26.1,18.1,47.6,2.0,2.0,2.0
Pasir Panjang,2022,12,30,0.0,27.7,31.2,25.7,18.7,54.1,0.0,0.0,0.0
Pasir Panjang,2022,12,31,2.4,27.6,31.5,24.3,22.4,63.7,1.8,1.8,1.8
Pasir Panjang,2023,1,1,0.0,27.5,30.6,25.5,17.4,43.2,0.0,0.0,0.0
Pasir Panjang,2023,1,2,0.0,27.8,32.2,25.5,19.2,52.6,0.0,0.0,0.0
Pasir Panjang,2023,1,3,20.2,26.9,31.8,24.0,18.2,40.7,11.2,13.0,16.0
Pasir Panjang,2023,1,4,0.2,27.0,29.5,25.0,21.9,52.6,0.2,0.2,0.2
Pasir Panjang,2023,1,5,18.2,27.0,30.8,24.1,20.4,48.9,12.8,18.2,18.2
Pasir Panjang,2023,1,6,0.0,28.2,31.3,26.3,20.6,47.2,0.0,0.0,0.0
Pasir Panjang,2023,1,7,0.0,27.8,30.4,25.7,21.4,49.6,0.0,0.0,0.0
Pasir Panjang,2023,1,8,0.0,28.4,31.2,26.1,19.6,46.5,0.0,0.0,0.0
Pasir Panjang,2023,1,9,0.0,28.0,31.7,26.4,15.3,39.3,0.0,0.0,0.0
Pasir Panjang,2023,1,10,0.8,27.6,29.5,26.3,11.6,29.8,0.8,0.8,0.8
Pasir Panjang,2023,1,11,0.0,26.7,28.8,25.5,12.7,37.8,0.0,0.0,0.0
Pasir Panjang,2023,1,12,0.0,27.9,31.5,25.3,10.3,29.8,0.0,0.0,0.0
Pasir Panjang,2023,1,13,0.2,27.7,31.5,26.1,13.5,39.6,0.2,0.2,0.2
Pasir Panjang,2023,1,14,0.0,27.5,30.6,25.8,12.4,35.0,0.0,0.0,0.0
Pasir Panjang,2023,1,15,0.0,28.1,30.7,26.0,17.3,55.7,0.0,0.0,0.0
Pasir Panjang,2023,1,16,1.8,28.1,31.8,25.7,16.9,57.2,1.8,1.8,1.8
Pasir Panjang,2023,1,17,0.0,28.2,32.2,26.0,17.9,54.1,0.0,0.0,0.0
Pasir Panjang,2023,1,18,0.0,27.9,31.8,26.0,19.1,48.9,0.0,0.0,0.0
Pasir Panjang,2023,1,19,8.0,26.5,29.4,25.2,17.4,51.1,3.0,4.2,4.8
Pasir Panjang,2023,1,20,6.0,26.1,28.7,24.6,20.0,41.1,1.4,1.6,2.2
Pasir Panjang,2023,1,21,0.8,27.2,31.0,25.4,14.4,38.9,0.6,0.6,1.4
Pasir Panjang,2023,1,22,46.6,26.0,29.1,24.2,18.4,47.6,19.6,20.8,24.6
Pasir Panjang,2023,1,23,4.2,25.4,26.8,24.9,18.9,35.9,1.6,2.4,3.0
Pasir Panjang,2023,1,24,16.6,24.3,25.5,23.3,23.1,53.3,1.4,2.6,4.4
Pasir Panjang,2023,1,25,18.0,24.1,25.1,23.4,21.3,43.9,3.4,4.8,7.2
Pasir Panjang,2023,1,26,8.2,25.2,27.7,23.1,22.3,50.4,5.0,5.8,6.8
Pasir Panjang,2023,1,27,0.4,27.3,30.6,24.4,25.8,52.6,0.4,0.4,0.4
Pasir Panjang,2023,1,28,4.4,24.8,26.3,23.9,25.6,55.4,2.0,2.6,3.2
Pasir Panjang,2023,1,29,4.2,24.6,26.0,23.6,23.3,60.7,1.4,2.2,3.2
Pasir Panjang,2023,1,30,1.6,25.8,28.0,24.4,21.2,56.1,0.6,0.8,1.2
Pasir Panjang,2023,1,31,1.6,25.4,26.9,24.9,21.3,48.5,0.6,1.2,1.6
Pasir Panjang,2023,2,1,0.0,26.6,30.5,24.3,21.6,50.4,0.0,0.0,0.0
Pasir Panjang,2023,2,2,81.8,26.5,31.5,22.8,17.2,47.8,65.6,80.6,81.4
Pasir Panjang,2023,2,3,1.4,26.4,30.5,24.2,16.1,48.9,0.6,0.8,1.2
Pasir Panjang,2023,2,4,6.4,25.3,27.3,24.2,17.5,46.1,2.0,2.2,3.0
Pasir Panjang,2023,2,5,33.8,26.1,30.7,24.0,19.0,50.4,27.2,32.6,33.8
Pasir Panjang,2023,2,6,0.0,26.6,29.7,24.5,24.3,48.5,0.0,0.0,0.0
Pasir Panjang,2023,2,7,0.0,27.1,32.1,24.8,17.5,45.0,0.0,0.0,0.0
Pasir Panjang,2023,2,8,14.8,27.0,31.5,25.3,15.8,50.7,9.8,13.2,14.2
Pasir Panjang,2023,2,9,0.4,27.3,30.8,25.6,14.5,39.3,0.2,0.2,0.2
Pasir Panjang,2023,2,10,11.8,26.9,30.3,24.0,14.9,48.9,9.4,9.8,10.0
Pasir Panjang,2023,2,11,2.6,27.4,31.2,25.2,20.6,56.1,2.4,2.6,2.6
Pasir Panjang,2023,2,12,17.2,25.8,31.0,23.1,16.3,58.3,9.8,10.8,11.6
Pasir Panjang,2023,2,13,0.0,27.2,31.1,25.0,13.4,35.0,0.0,0.0,0.0
Pasir Panjang,2023,2,14,0.8,27.3,31.7,25.7,14.1,35.6,0.8,0.8,0.8
Pasir Panjang,2023,2,15,25.0,26.2,29.5,22.5,16.2,69.5,18.4,23.8,24.4
Pasir Panjang,2023,2,16,0.0,27.4,31.1,24.6,18.8,53.0,0.0,0.0,0.0
Pasir Panjang,2023,2,17,5.6,27.1,31.1,25.0,15.3,46.1,3.0,5.0,5.6
Pasir Panjang,2023,2,18,8.6,27.5,32.0,25.5,17.5,50.7,8.4,8.6,8.6
Pasir Panjang,2023,2,19,11.4,27.6,32.6,25.3,16.8,56.5,8.0,9.8,11.2
Pasir Panjang,2023,2,20,0.2,27.0,30.5,25.7,15.6,49.6,0.2,0.2,0.2
Pasir Panjang,2023,2,21,0.0,27.6,31.6,25.2,18.4,52.6,0.0,0.0,0.0
Pasir Panjang,2023,2,22,4.2,27.4,30.9,24.9,17.5,61.9,4.2,4.2,4.2
Pasir Panjang,2023,2,23,0.0,27.8,31.6,25.6,17.8,48.9,0.0,0.0,0.0
Pasir Panjang,2023,2,24,0.0,28.0,31.9,25.9,18.1,56.5,0.0,0.0,0.0
Pasir Panjang,2023,2,25,0.0,27.6,31.2,25.6,16.0,46.9,0.0,0.0,0.0
Pasir Panjang,2023,2,26,0.0,27.5,31.4,25.4,20.2,55.0,0.0,0.0,0.0
Pasir Panjang,2023,2,27,0.0,27.2,30.7,24.9,21.8,59.1,0.0,0.0,0.0
Pasir Panjang,2023,2,28,151.6,24.8,27.1,22.3,23.0,50.7,23.8,41.2,64.8
